geo,pps_per_inhabitant_million_euros,available_hospital_beds_per_100k,real_labour_productivity_per_person_employed_2019_base_year,railway_km_per_square_km,raw_milk_on_farms,pop_density_per_square_km,net_migration_per_capita,count_of_all_crime_per_100k,percentage_individuals_regularly_using_internet,average_age_for_people_above_18,F:M_ratio,disposable_income_avg,gross_income_per_capita,employment_rate,proportion_with_higher_educ,fertility_rate,poverty_rate,life_expectancy,gender_employment_gap_percentage
AL01,7700.0,,,,,74.8,,32.93,,45.75343839839507,0.9935543953538066,,,,,1.59,0.473,78.73333333333333,
AL02,11400.0,,,,,236.2,,50.51,,44.865508565504506,1.0357007920840775,,,,,1.28,0.47600000000000003,81.66666666666667,
AL03,8600.0,,,,,67.1,,57.489999999999995,,46.19821112020428,1.0064521556988724,,,,,1.23,0.433,77.43333333333334,
AT11,27600.0,587.21,101.5,,28.05,77.8,206.0,1315.8,78.39,51.76665030605167,1.0562594356540524,6390.49,27500.0,71.9,0.2993503248375812,1.39,0.146,81.9,10.2
AT11,27600.0,587.21,101.5,,28.05,77.8,1434.0,1315.8,78.39,51.76665030605167,1.0562594356540524,6390.49,27500.0,71.9,0.2993503248375812,1.39,0.146,81.9,10.2
AT11,27600.0,587.21,101.5,,28.05,77.8,377.0,1315.8,78.39,51.76665030605167,1.0562594356540524,6390.49,27500.0,71.9,0.2993503248375812,1.39,0.146,81.9,10.2
AT12,33000.0,671.36,104.2,,741.6,88.9,675.0,1778.0800000000002,87.77,50.5858412272613,1.0507012697547038,36941.78,29300.0,74.4,0.3125,1.5,0.125,81.66666666666667,8.9
AT12,33000.0,671.36,104.2,,741.6,88.9,1303.0,1778.0800000000002,87.77,50.5858412272613,1.0507012697547038,36941.78,29300.0,74.4,0.3125,1.5,0.125,81.66666666666667,8.9
AT12,33000.0,671.36,104.2,,741.6,88.9,1021.0,1778.0800000000002,87.77,50.5858412272613,1.0507012697547038,36941.78,29300.0,74.4,0.3125,1.5,0.125,81.66666666666667,8.9
AT12,33000.0,671.36,104.2,,741.6,88.9,430.0,1778.0800000000002,87.77,50.5858412272613,1.0507012697547038,36941.78,29300.0,74.4,0.3125,1.5,0.125,81.66666666666667,8.9
AT12,33000.0,671.36,104.2,,741.6,88.9,796.0,1778.0800000000002,87.77,50.5858412272613,1.0507012697547038,36941.78,29300.0,74.4,0.3125,1.5,0.125,81.66666666666667,8.9
AT12,33000.0,671.36,104.2,,741.6,88.9,3033.0,1778.0800000000002,87.77,50.5858412272613,1.0507012697547038,36941.78,29300.0,74.4,0.3125,1.5,0.125,81.66666666666667,8.9
AT12,33000.0,671.36,104.2,,741.6,88.9,2630.0,1778.0800000000002,87.77,50.5858412272613,1.0507012697547038,36941.78,29300.0,74.4,0.3125,1.5,0.125,81.66666666666667,8.9
AT13,46200.0,751.91,99.9,,0.0,4808.9,12659.0,4783.99,88.27,47.12989339263753,1.076611702683712,37613.67,26700.0,67.1,0.4065,1.35,0.275,81.03333333333333,8.0
AT21,33700.0,803.93,104.8,,234.6,59.9,1592.0,1717.66,83.75,51.42289388793663,1.0724173385050548,11549.33,26200.0,72.2,0.2985,1.4,0.174,82.16666666666667,10.8
AT21,33700.0,803.93,104.8,,234.6,59.9,-12.0,1717.66,83.75,51.42289388793663,1.0724173385050548,11549.33,26200.0,72.2,0.2985,1.4,0.174,82.16666666666667,10.8
AT21,33700.0,803.93,104.8,,234.6,59.9,-2.0,1717.66,83.75,51.42289388793663,1.0724173385050548,11549.33,26200.0,72.2,0.2985,1.4,0.174,82.16666666666667,10.8
AT22,36000.0,801.3,103.3,,577.48,76.6,3176.0,1703.95,83.64,50.138547911587985,1.0418278657856952,26104.08,27400.0,74.7,0.2918540729635183,1.41,0.17600000000000002,82.16666666666667,9.2
AT22,36000.0,801.3,103.3,,577.48,76.6,114.0,1703.95,83.64,50.138547911587985,1.0418278657856952,26104.08,27400.0,74.7,0.2918540729635183,1.41,0.17600000000000002,82.16666666666667,9.2
AT22,36000.0,801.3,103.3,,577.48,76.6,71.0,1703.95,83.64,50.138547911587985,1.0418278657856952,26104.08,27400.0,74.7,0.2918540729635183,1.41,0.17600000000000002,82.16666666666667,9.2
AT22,36000.0,801.3,103.3,,577.48,76.6,683.0,1703.95,83.64,50.138547911587985,1.0418278657856952,26104.08,27400.0,74.7,0.2918540729635183,1.41,0.17600000000000002,82.16666666666667,9.2
AT22,36000.0,801.3,103.3,,577.48,76.6,858.0,1703.95,83.64,50.138547911587985,1.0418278657856952,26104.08,27400.0,74.7,0.2918540729635183,1.41,0.17600000000000002,82.16666666666667,9.2
AT22,36000.0,801.3,103.3,,577.48,76.6,-41.0,1703.95,83.64,50.138547911587985,1.0418278657856952,26104.08,27400.0,74.7,0.2918540729635183,1.41,0.17600000000000002,82.16666666666667,9.2
AT31,40300.0,676.7,103.5,,1191.36,126.8,1518.0,1771.6,84.76,49.404391421340435,1.0307211301758699,31861.52,29200.0,77.1,0.3065,1.6,0.11599999999999999,82.26666666666667,8.0
AT31,40300.0,676.7,103.5,,1191.36,126.8,3802.0,1771.6,84.76,49.404391421340435,1.0307211301758699,31861.52,29200.0,77.1,0.3065,1.6,0.11599999999999999,82.26666666666667,8.0
AT31,40300.0,676.7,103.5,,1191.36,126.8,350.0,1771.6,84.76,49.404391421340435,1.0307211301758699,31861.52,29200.0,77.1,0.3065,1.6,0.11599999999999999,82.26666666666667,8.0
AT31,40300.0,676.7,103.5,,1191.36,126.8,536.0,1771.6,84.76,49.404391421340435,1.0307211301758699,31861.52,29200.0,77.1,0.3065,1.6,0.11599999999999999,82.26666666666667,8.0
AT31,40300.0,676.7,103.5,,1191.36,126.8,612.0,1771.6,84.76,49.404391421340435,1.0307211301758699,31861.52,29200.0,77.1,0.3065,1.6,0.11599999999999999,82.26666666666667,8.0
AT32,47000.0,869.23,104.2,,389.53,78.9,-1.0,2666.86,86.48,49.2663882331578,1.0653520643082748,12045.52,29700.0,77.2,0.3151575787893947,1.58,0.14400000000000002,82.76666666666667,7.9
AT32,47000.0,869.23,104.2,,389.53,78.9,245.0,2666.86,86.48,49.2663882331578,1.0653520643082748,12045.52,29700.0,77.2,0.3151575787893947,1.58,0.14400000000000002,82.76666666666667,7.9
