,geo,pps_per_inhabitant_million_euros,available_hospital_beds_per_100k,real_labour_productivity_per_person_employed_2019_base_year,railway_km_per_square_km,raw_milk_on_farms,pop_density_per_square_km,percentage_of_population_at_risk_poverty,net_migration_per_capita,count_of_all_crime_per_100k,percentage_individuals_regularly_using_internet,average_age_for_people_above_18,F.M_ratio,disposable_income_avg,gross_income_per_capita,employment_rate,proportion_with_higher_educ
183,NL21,45727.61,NA,100.9,94,2334,344.9,13,3632,1801.49,94.71,49.53695419,1.003036574,19827.7,26300,78.9,0.319
184,NL22,82080.47,NA,100.5,108,2140,415.8,12.1,11508,1949.68,94.21,50.02845343,1.033724258,37062.3,27900,78,0.34925
185,NL23,14535.98,NA,99.4,47,313,292.5,12.2,1589,2289.54,94.46,47.08713319,1.016253154,7378.82,28200,78.95,0.300174956
186,NL31,76995.51,NA,101,142,865,934.6,12.4,8638,2367.25,97.76,47.95792687,1.05827438,25817.33,33400,80.75,0.491877031
187,NL32,179531.33,NA,105,125,813,1041.2,13.2,24148,3288.09,97.42,48.43491986,1.042056066,55676.7,32500,78.8,0.451862966
188,NL33,169015.98,NA,96.5,155,837,1292.2,15,27619,2503.98,94.42,48.56512374,1.042012674,66754.33,29300,76.85,0.380595149
189,NL34,14237.66,NA,99.4,57,207,212.6,12.5,1515,1423.12,93.21,51.98763132,1.029709113,6747.84,26900,79.15,0.274431392
190,NL41,121243.84,NA,101.5,73,1940,514.8,11.4,16678,2275.77,95.96,49.84413467,1.006013499,46745.62,29400,80.1,0.355588897
191,NL42,46139.21,NA,101.1,112,436,517.7,12.4,5362,2603.08,96.18,51.62388286,1.023607955,19406.76,26000,75.75,0.313828457
192,PL21,43082.35,623.25,115.6,72,293,224,16,3736,372.41,NA,47.73551077,1.087889636,44033.63,8400,67.85,0.319829957
193,PL22,64357.59,629.62,117,158,278,368.8,10.7,-2661,530.78,NA,49.13048757,1.098866874,67259.96,9100,66.25,0.293
194,PL41,52705.98,427.37,114.8,64,2021,117.9,14.6,1175,399.59,NA,47.61576085,1.082813455,48772.61,9100,70.7,0.269067267
195,PL42,19593.55,1182.45,110,54,167,76.6,12.7,-546,569.44,NA,48.60238371,1.080008834,22144.64,8100,66.25,0.278110945
196,PL43,11400.89,477.67,111.4,67,87,72.6,11.6,-599,691.52,NA,48.12233242,1.073291185,11881.84,7400,67.6,0.242189453
197,PL51,43971.91,734.19,112.7,87,186,144.9,11,2592,889.72,NA,48.86403249,1.106269664,40792.85,9200,70.65,0.330167458
198,PL52,10795.94,491.24,114.2,84,286,101.4,14.6,-534,465.31,NA,48.94087012,1.085229103,11841.04,7400,68.85,0.247811953
199,PL61,22896.82,864.16,113.5,75,1086,116.8,19.7,-1550,445.85,NA,48.16280884,1.091638754,24806.51,7500,66.3,0.232691827
200,PL62,13541.12,556.59,109,50,1062,61.1,19.9,-2369,449.78,NA,47.71351363,1.068677537,16409.46,7100,63.6,0.2275
201,PL63,31544.32,520.12,116,67,383,130.6,12.8,3411,608.7,NA,47.76428351,1.081835181,30992.01,8600,71.2,0.323419145
202,PL71,32122.01,527.34,117,60,1128,135.2,14.3,-1363,520.27,NA,49.3957064,1.1313747,33353.54,8600,69.15,0.274431392
203,PL72,12270.33,762.95,113.3,62,224,105.1,18.1,-1964,283.95,NA,49.06062768,1.070990256,14222.77,7000,65.35,0.283
204,PL81,20048.65,595.19,116.3,39,831,84,26.5,-4392,240.93,NA,48.42924066,1.087305408,24159.6,7000,64.65,0.294397199
205,PL82,20817.75,675.69,115.1,55,166,117.8,19.4,-1823,229.61,NA,47.5856126,1.061234026,22507.54,6600,63.7,0.27625
206,PL84,11820.78,558.95,117.8,38,2906,57.5,18.8,-1576,349.2,NA,48.39538775,1.073662461,13117.38,7000,68.2,0.311327832
207,PL91,93425.71,580.43,123.2,NA,166,510.2,11.5,16085,834.31,NA,48.97714701,1.178791381,63732.44,14400,77.45,0.528132033
208,PL92,28109.47,410.09,119.8,NA,3233,79.5,19.8,-4312,366.88,NA,47.89092764,1.058202869,31027.37,8400,66.45,0.24656164
209,PT11,63524.58,334.36,105.7,21,760.65,169.3,18.3,6961,1457.2,67.01,50.68244331,1.135801462,45571.57,11100,69.05,0.21925
210,PT15,10239.8,273.58,100.5,35,0.47,88.9,18.7,3163,2788.56,74.28,51.38454961,1.101808891,7746.09,14700,72.75,0.207051763
211,PT16,40027.7,NA,106.9,34,214.39,79.2,17.3,8404,1146.32,71.44,53.09491462,1.140064162,30318.29,11300,71.55,0.237
212,PT17,77439.68,NA,98.1,98,80.8,1015.9,13.3,21050,1905.29,82.5,50.13850474,1.177548946,48140.57,15900,72.1,0.334582709
213,PT18,13373.23,NA,100.7,23,263.39,22.7,17.9,168,1187.28,67.3,53.47943429,1.099742797,9871.82,11900,69.65,0.192951762
214,PT20,4487.27,611.15,107.5,NA,653.83,105.3,31.8,-161,1504.24,75.31,47.70517986,1.071680148,3439.16,12100,65.6,0.129217696
215,PT30,5126.38,767.81,104.2,NA,1.95,318,27.8,505,1091.97,74.49,49.90014935,1.176166185,3516.04,11300,67.85,0.19575
216,RO11,27394.5,732.38,131,49,680.9,75,14.7,-6519,742.48,80.33,48.34137544,1.070426462,29734.52,6500,66.9,0.17575
217,RO12,25222.8,728.07,118.2,39,682.1,68.2,21.2,-7280,805.6,69.91,49.07660023,1.059605734,26540.8,6400,60.1,0.1705
218,RO21,23631.89,664.57,103.9,44,878.4,87.5,41.1,-14317,953.98,68.96,48.85180487,1.027140007,28845.45,4300,72.85,0.108
219,RO22,22188.95,622.8,114.6,52,362.2,70.9,31.1,-14488,1239.43,65.79,50.06839443,1.056954882,24281.03,5400,60.2,0.13025
220,RO31,25528.39,516.39,98.8,37,418.3,86.1,26,-17698,880.66,68.54,50.32902686,1.050628924,28500.77,5000,64.6,0.12093953
221,RO32,61660.45,1025.84,135.3,159,10.7,1321.9,2.9,3090,1558.63,74.92,47.79782302,1.172190815,49532.04,14500,72.55,0.385153712
222,RO41,17297.53,674.44,103.4,35,337.6,66.9,31.6,-12191,859.43,69.4,50.30611302,1.04802389,19086.44,5000,63.8,0.144536134
223,RO42,21097.13,750.7,133.7,59,293,55.7,14.7,-4143,1014.42,76.03,48.82814293,1.072708164,22946.59,7400,60.45,0.153711572
224,SE11,152085.63,204.09,103.9,64,21.78,361.8,13.1,16008,6204.58,95.39,47.29052101,1.015135608,48082.95,32900,79.5,0.49475
225,SE12,67417.49,210.4,99.5,47,416.52,44.7,16.5,12894,5177.94,96.38,49.52915336,1.001042966,28646.11,24200,75.2,0.39175
226,SE21,33883.5,219.3,101.8,34,787.09,26.2,15.6,5889,4053.99,95.49,50.65896759,0.985004054,14242.95,23800,78.75,0.347413147
227,SE22,60916.3,201.65,102.6,64,355.25,110.1,22.9,11721,5741.1,94.23,49.35603361,1.015381868,26016.89,24600,73,0.423605901
228,SE23,92036.49,195.36,100.6,50,691.61,70.1,17.6,13747,5297.95,96.02,49.26061606,1.00211554,36143.68,26600,79.15,0.397650587
229,SE31,31873.36,204.2,101.5,27,171.61,13.5,17.4,4150,4422.61,91.1,51.59144989,0.993564117,13962.41,22600,75.35,0.315671082
230,SE32,14869.4,227.69,100.2,22,110.54,5.3,23.6,1218,4271.93,96.31,51.5913476,0.98622451,6151.72,23100,76.2,0.348238821
231,SE33,23688.47,240.2,103.6,13,149.98,3.4,15.1,1044,3537.11,98.36,50.2942904,0.967683475,8652.09,24000,75.8,0.372343086
232,SK01,26559.8,715.17,102.8,117,41.82,328.8,4.3,5549,771.23,80.46,48.3075279,1.141363807,12122.5,18700,77.2,0.432608152
233,SK02,29245.01,471.62,105.4,81,453.38,123,7.4,830,343.57,84.03,48.33656613,1.06498281,19743.53,9900,70,0.212946763
234,SK03,18798.56,583.78,103.9,66,235.03,82.7,15.6,-1200,383.28,79.91,47.55087689,1.06769139,14844.74,10000,68.05,0.221194701
235,SK04,19826.37,630.22,103,72,174.02,103.9,17,-1743,372.63,81.92,46.51409124,1.056865929,15786.69,7900,63.25,0.224556139
