"year.x","geo","regionname.x","weighted_avg_left_right","avg_GDP_per_inhabitant_million_euros","available_hospital_beds_per_100k","real_labour_productivity_per_person_employed_2019_base_year","railway_km_per_square_km","raw_milk_on_farms","pop_density_per_square_km","percentage_of_population_at_risk_poverty","net_migration_per_capita","count_of_all_crime_per_100k","percentage_individuals_regularly_using_internet","inability_to_afford_meal_with_meat_every_second_day_percent_2021","inability_to_meet_unexpected_financial_expenses_percent_2021","average_age","F.M_ratio","disposable_income_avg","gross_income_per_capita","employment_rate","proportion_with_higher_educ","total_votes","total_weighted_score"
2019,"BE35","Prov. Namur",3.54730589359683,13802.93,512.68,99.4,NA,182.91,135.9,NA,1761,3435.16,85.8,4.1,27.1,49.1314193512491,1.05761655226964,8742.37,24700,60.75,0.355177588794397,228621,810988.6207
2019,"BG31","Северозападен",5.50576644291796,3960.79,792.68,116.4,34,120,39,31.7,-4899,672.1,62.22,19.7,38.8,53.5290444482949,1.0770053365963,5172.02,3300,60.1,0.18304576144036,191435,1053996.399
2019,"BG32","Северен централен",5.50322384646839,4583.29,674.11,109.7,43,119,53.1,23.7,-2608,539.81,69.05,23.7,43.3,52.9067078033158,1.10423186091593,5990.88,3900,69.75,0.25406351587897,185864,1022851.197
2019,"BG33","Североизточен",5.41235247229182,6339.33,536.38,109.1,33,142,63.7,22.7,860,763.06,64.93,19.9,34.7,51.064390414721,1.0909684086212,6828.11,3800,67.65,0.218054513628407,206347,1116822.6956
2019,"BG34","Югоизточен",5.47393741022362,6857.5,670.17,105,32,163,52.5,24.9,-593,723.59,63.41,30.4,44.7,51.4693493109827,1.09704935820117,7663.73,3700,69.8,0.20225,213447,1168395.5184
2019,"BG41","Югозападен",5.78188777780486,31073.97,739.34,108.8,43,54,103.7,14.4,2714,950.81,73.71,17.8,25.9,49.6757574096834,1.11552849730068,28664.37,8400,75.85,0.369026770077558,410270,2372135.0986
2019,"BG42","Южен централен",5.49701858908623,8715.95,824.74,111.1,35,224,63.7,27.9,581,391.76,61.31,25.9,41.8,51.6251216814655,1.10083251023,10778.85,3900,69.45,0.212946763309173,329602,1811828.321
NA,"CH01",NA,NA,119750.64,501.31,NA,NA,NA,199.7,20.3,299,3554.65,95.21,1.6,29.2,48.2039510685636,1.06198140449482,NA,NA,73.65,0.406601650412603,NA,NA
NA,"CH02",NA,NA,127928.65,426.12,NA,NA,NA,193,19.2,4966,2576.99,93.94,1.7,19.2,49.7534932577841,1.04274417299404,NA,NA,82.3,0.376717461903572,NA,NA
NA,"CH03",NA,NA,93080.41,541.62,NA,NA,NA,603,14,3987,2583.39,96.28,1.3,18.4,49.6563849920206,1.03056889878585,NA,NA,80.95,0.42825,NA,NA
NA,"CH04",NA,NA,139303.2,410.49,NA,NA,NA,925.1,10.8,5199,3133.47,97.39,1.4,15.4,48.2178354904864,1.02361495294997,NA,NA,82.65,0.510127531882971,NA,NA
NA,"CH05",NA,NA,77217.42,498.28,NA,NA,NA,104.6,13.9,1227,1634,94.52,1.3,12,49.4080712577047,1.00368746984908,NA,NA,82.65,0.363590897724431,NA,NA
NA,"CH06",NA,NA,59339.91,330.39,NA,NA,NA,191.9,13,1631,1753.99,92.89,1.6,10.7,48.9927070518478,0.993907940889996,NA,NA,85.35,0.399599899974994,NA,NA
NA,"CH07",NA,NA,27822.95,548.5,NA,NA,NA,128.9,22.9,-355,1753.52,93.48,2.2,29.5,51.6209682588411,1.07126436781609,NA,NA,71.3,0.376594148537134,NA,NA
2019,"CY00","Κύπρος",5.15099650384557,23177.86,NA,104.2,NA,238.76,95.7,NA,7806,216.92,85.5,NA,NA,46.4963391660404,1.06889251338934,15554.51,16300,70.7,0.42225,250418,1289902.2425
2019,"CZ01","Praha",6.57341918813318,61601.72,824.72,108.3,503,4.58,2714.3,5.1,17057,2404.34,94.68,2.9,14.4,48.77443798022,1.07496290973156,24014.69,16900,79.25,0.433141714571357,301749,1983522.6666
2019,"CZ02","Střední Čechy",6.36658567652527,26752.43,499.04,116.8,120,393.2,128.5,7.5,13624,772.35,89.24,2.4,14.8,49.0355393922927,1.04401779398824,20723.46,13700,76.95,0.2185,267854,1705315.4398
2019,"CZ03","Jihozápad",6.22899798339567,21839.53,675.31,110,98,708.66,71.8,8,5769,713.24,86.4,5.4,14,49.7690333225926,1.03438975187424,16513.95,12000,75.2,0.192451887028243,234999,1463808.2971
2019,"CZ04","Severozápad",6.1722464757089,16282.37,625.64,102.9,179,103.92,131.7,16.9,1229,876.58,77.09,6.1,28.4,49.3828059814675,1.03328716652324,13855.3,11000,72.2,0.144572286143072,166913,1030228.176
2019,"CZ05","Severovýchod",6.2875073024948,26104.2,635.02,113.2,147,617.44,123.7,10.5,3577,550.59,83.49,3.3,19.4,49.7634705477763,1.04364055880071,20199.28,11800,74.6,0.19,300144,1887157.5918
2019,"CZ06","Jihovýchod",6.19969144657582,32403.02,709.62,107.7,103,772.37,124,9.9,4179,703.79,82.17,4.7,15.2,49.6113568810281,1.04886753034616,23390.25,12300,74.75,0.245561390347587,341980,2120170.4809
2019,"CZ07","Střední Morava",6.21749639067747,20772.66,637.95,110.1,105,367.51,133.2,11.6,142,504.2,80.85,3,19.5,49.9276241091677,1.06153015145056,15481,11100,73.65,0.190452386903274,231096,1436838.5459
2019,"CZ08","Moravskoslezsko",6.04133566370174,19857.55,686.9,102.2,125,188.12,226.2,13,-1385,1019.94,83.72,3.3,21.3,49.5600315291538,1.05840349190526,15041.78,10900,72.6,0.193403298350825,199668,1206261.4093
2019,"DE11","Stuttgart",5.09817567522778,220990.79,NA,99.7,NA,699.16,393.3,NA,9705,1251.49,NA,10.4,29,49.9111151248521,1.01583557595905,98339.91,34500,79.4,0.319,1562880,7967836.7993
2019,"DE12","Karlsruhe",5.05116668936251,129135.63,NA,102.8,NA,162.91,409.3,NA,16066,1512.91,NA,8.7,30.9,49.9308393105376,1.02603384511935,63237.74,31900,77.7,0.30625,1073618,5423023.4787
2019,"DE13","Freiburg",4.95272330086542,90681.69,NA,102.8,NA,398.26,244.9,NA,3298,1443.97,NA,10.5,28.2,50.3246145858764,1.04378145007806,52256.16,31600,79.5,0.287821955488872,874607,4331686.468
2019,"DE14","Tübingen",5.08523805948289,84683.96,NA,104.9,NA,1133.78,214.2,NA,6306,1147.1,NA,10.8,31,49.9203709071722,1.02535327961961,43083.87,32700,79.75,0.295426143464134,744214,3784505.3572
2019,"DE21","Oberbayern",5.60053436634712,286849.73,NA,101.7,NA,2503.47,273.4,NA,12756,1110.91,NA,7.2,22.4,49.3978911598852,1.03590602536197,124419,40500,81.15,0.37890527368158,1720887,9637886.7841
2019,"DE22","Niederbayern",6.50002211816239,50310.3,NA,101.6,NA,1005.9,121,NA,4167,831.3,NA,8.5,24,50.3529803263594,1.00469584190151,27485.01,30400,79.95,0.213143428285857,436501,2837266.1546
2019,"DE23","Oberpfalz",6.16094683066882,48721.11,NA,101.1,NA,1187.49,115.2,NA,2738,1000.49,NA,6.2,24.9,50.1718302033917,1.01653083824306,24157.1,30300,79.15,0.2448112028007,413084,2544988.5606
2019,"DE24","Oberfranken",5.92691207340882,42042.41,NA,103.5,NA,632.02,147.8,NA,2322,964.52,NA,6.4,27.3,51.3981501545592,1.04386416840659,22951.93,28500,79.8,0.244938765308673,409760,2428611.4912
