"regionname.x","nuts2.x","year.x","total_votes","total_weighted_score","weighted_avg_left_right"
"Highlands and Islands","UKM6",2019,92635,562158.9651,6.06853743293572
"Hovedstaden","DK01",2019,780968,3710025.8374,4.75054782961658
"Ile-de-France","FR10",2019,2244195,12680239.7406,5.65023972542493
"Illes Balears","ES53",2019,307252,1531826.358,4.98557001419031
"Inner London - East","UKI4",2019,528846,2418685.53,4.57351578720459
"Inner London - West","UKI3",2019,260371,1316520.1945,5.0563242238959
"Jadranska Hrvatska","HR03",2019,174662,989022.6444,5.66249467199505
"Jihovýchod","CZ06",2019,341980,2120170.4809,6.19969144657582
"Jihozápad","CZ03",2019,234999,1463808.2971,6.22899798339567
"Karlsruhe","DE12",2019,1073618,5423023.4787,5.05116668936251
"Kassel","DE73",2019,461090,2254869.4684,4.89030225856124
"Kent","UKJ4",2019,448074,2943963.4607,6.57026174404228
"Koblenz","DEB1",2019,642485,3286922.9676,5.11595285119497
"Kontinentalna Hrvatska","HR04",2019,347645,1952527.7372,5.616441304204
"Kujawsko-pomorskie","PL61",2019,299820,2135123.0776,7.12134973517444
"Kärnten","AT21",2019,220838,1236178.8847,5.59767288555412
"Köln","DEA2",2019,1842003,8728667.7741,4.7386827133832
"Közép-Dunántúl","HU21",2019,324374,2007851.9568,6.18992877604247
"La Rioja","ES23",2019,132643,698604.0177,5.26679898449221
"La Réunion","FRY4",2019,124616,750055.8722,6.01893715253258
"Lancashire","UKD4",2019,339263,2117269.6009,6.24079136510613
"Languedoc-Roussillon","FRJ1",2019,706909,4686246.7578,6.62920794303086
"Latvija","LV00",2019,368403,2293133.0772,6.22452335404435
"Lazio","ITI4",2019,1755766,10812217.8662,6.15812008331406
"Leicestershire, Rutland and Northamptonshire","UKF2",2019,420131,2620928.0632,6.2383591384592
"Leipzig","DED5",2019,414507,2134999.4432,5.15069574989083
"Liguria","ITC3",2019,536961,3233375.7165,6.02162115405029
"Limburg (NL)","NL42",2019,257405,1292616.306,5.0217218235854
"Limousin","FRI2",2019,169745,1048328.4236,6.17590163833986
"Lincolnshire","UKF3",2019,229213,1602340.2582,6.99061684197668
"Lombardia","ITC4",2019,3926568,24811124.6807,6.31878135835162
